id,dataset_name,folder_name,modality,file_count,total_size_mb,total_samples,split_policy,train_samples,val_samples,test_samples,status,final_accuracy,target_module,notes
DS-01,Celeb-DF v2 Metadata Descriptor,celeb-df-v2-metadata,Video Metadata,1,0.01,0,None,0,0,0,METADATA ONLY,N/A,Video Deepfake Detection,Croissant JSON descriptor (3.4 KB). Contains 0 video files or image frames.
DS-02,Deepfake Video Frames (1000 Videos),archive,Image (Face Frames),16433,402.96,16433,Partitioned by Video ID across train/val/test,4000,800,800,ALREADY TRAINED & VERIFIED,88.12%,Image Deepfake Detection,"Trained as DeepfakeCNN (PyTorch Vision CNN). Test Accuracy: 88.12%, F1: 87.38%."
DS-03,ASVspoof 2019 Logical Access (LA),archive (1),Audio (Voice Anti-Spoofing),60150,3590.0,60132,Disjoint Speaker Protocol Splits,4000,800,200,ALREADY TRAINED & VERIFIED,99.50%,Audio Deepfake Detection,Trained as AudioCNN (Mel-STFT Spectrogram CNN). Held-out Unseen Test Acc: 99.50%.
DS-04,Email Phishing Archive (ZIP Duplicate 1),archive (3),Email / Text,1,77.12,82486,None (Duplicate),0,0,0,DUPLICATE,N/A,Email Phishing Detection,Exact compressed ZIP duplicate of archive (9). Excluded from redundant training.
DS-05,SMS Spam Collection Dataset,archive (4),SMS / Text,1,0.46,5572,Stratified 80/10/10 (Seed 42),4457,557,558,TRAINED,98.57%,SMS Scam Detection,"Trained as SMSScamClassifier. TF-IDF fit solely on Train. Test Acc: 98.57%, F1: 94.52%."
DS-06,Fake Job Postings Single-Class Dataset,archive (5),Job Postings,1,2.87,10000,None (Single-Class),0,0,0,HEURISTIC ONLY,N/A,Job Scam Detection,100% fraudulent rows (no negative controls). Supervised binary ML invalid. Powers heuristic engine.
DS-07,Malicious & Phishing URLs Dataset (74 Features),archive (6),Phishing URL,4,204.8,579920,Stratified 80/10/10 (Seed 42),48000,6000,2000,TRAINED,99.60%,URL Phishing Detection,Trained as PhishingURLNet (74-feat MLP). Scaler fit solely on Train. Test Acc: 99.60%.
DS-08,Malicious & Phishing URLs Dataset (Uncompressed Copy),archive (7),Phishing URL,4,204.8,579920,None (Duplicate),0,0,0,DUPLICATE,N/A,URL Phishing Detection,Exact uncompressed byte-for-byte duplicate of archive (6).
DS-09,Fake Job Postings Dataset (ZIP Duplicate),archive (8),Job Postings,1,0.69,10000,None (Duplicate),0,0,0,DUPLICATE,N/A,Job Scam Detection,Exact compressed ZIP duplicate of archive (5).
DS-10,Unified Multi-Corpus Email Phishing Dataset,archive (9),Email Phishing,7,249.19,82486,Stratified 80/10/10 (Seed 42),32000,4000,2000,TRAINED,99.65%,Email Phishing Detection,"Trained as EmailPhishingClassifier. TF-IDF fit solely on Train. Test Acc: 99.65%, F1: 98.89%."
DS-11,Email Phishing Archive (ZIP Duplicate 2),archive (10),Email Phishing,1,77.12,82486,None (Duplicate),0,0,0,DUPLICATE,N/A,Email Phishing Detection,Exact compressed ZIP duplicate of archive (9).
DS-12,Phishing URLs Archive (ZIP Duplicate 1),archive (11),Phishing URL,1,36.86,579920,None (Duplicate),0,0,0,DUPLICATE,N/A,URL Phishing Detection,Exact compressed ZIP duplicate of archive (6).
DS-13,Phishing URLs Archive (ZIP Duplicate 2),archive (12),Phishing URL,1,36.86,579920,None (Duplicate),0,0,0,DUPLICATE,N/A,URL Phishing Detection,Exact compressed ZIP duplicate of archive (6).
DS-14,Email Phishing Archive (ZIP Duplicate 3),archive (13),Email Phishing,1,77.12,82486,None (Duplicate),0,0,0,DUPLICATE,N/A,Email Phishing Detection,Exact compressed ZIP duplicate of archive (9).
DS-15,Instagram Fake Spammer Accounts,archive (14),Social Media (Instagram),2,0.02,696,Predefined train.csv & test.csv,576,0,120,TRAINED,88.33%,Social Media Fake Account Detection,"Trained as SocialSpamNet on 11 Instagram profile features. Test Acc: 88.33%, F1: 87.93%."
DS-16,Comprehensive User Profiles & Behavioral Activity,archive (15),Social Media Profiles,2,36.25,5000,Stratified 80/10/10 Split by User ID,4000,500,500,TRAINED,92.00%,Social Media Fake Account Detection,"Trained as SocialProfileNet across 14 telemetry features. Scaler fit on Train. Test Acc: 92.00%, Rec: 96.80%."
DS-17,Celeb-DF v2 Benchmark Video Dataset,archive (16),Video Deepfake Detection,6530,9685.61,6529,Official Held-Out Benchmark List (Video-Level),0,0,60,EVALUATED,43.33%,Video Deepfake Detection,Evaluated via frame_level_aggregation pipeline over Vision CNN. Test Acc: 43.33%.
DS-18,FaceForensics++ (C23 Compression Benchmark),archive (17),Video Deepfake Detection,7010,17089.66,7000,Official Metadata Benchmark Index,0,0,0,EVALUATED,Benchmark,Video Deepfake Detection,"Video manipulation benchmark reference corpus (7,000 videos)."
